Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775881162,50,,Aggregated,18.200000,0.000000,390,750,1300,1900,3500,7100,18000,21000,23000,23000,23000,710,0,380.0,1634.1015164395158,4.929204998916248,22964.29674599858,252087.3661971831
1775881163,50,,Aggregated,21.400000,0.000000,370,720,1200,1800,3500,6900,18000,21000,23000,23000,23000,731,0,370.0,1594.8340865732523,4.929204998916248,22964.29674599858,246633.6757865937
1775881164,50,,Aggregated,24.800000,0.000000,370,700,1200,1700,3500,6600,18000,21000,23000,23000,23000,756,0,370.0,1561.8682989286278,4.929204998916248,22964.29674599858,245048.23544973545
1775881165,50,,Aggregated,25.900000,0.000000,360,690,1200,1700,3500,7100,18000,22000,23000,23000,23000,776,0,360.0,1612.654100534849,4.929204998916248,22964.29674599858,243554.22680412373
1775881166,50,,Aggregated,25.100000,0.000000,360,690,1200,1700,3500,8000,20000,22000,23000,23000,23000,800,0,360.0,1654.6512242375613,4.929204998916248,22964.29674599858,242454.11125
1775881167,50,,Aggregated,24.700000,0.000000,360,690,1100,1700,3500,7400,19000,22000,23000,23000,23000,811,0,360.0,1640.259497078971,4.929204998916248,22964.29674599858,248252.68310727496
1775881168,50,,Aggregated,22.800000,0.000000,350,680,1100,1600,3500,8100,21000,22000,23000,23000,23000,848,0,340.0,1684.1666256215053,4.929204998916248,22964.29674599858,240457.22405660377
1775881169,50,,Aggregated,22.500000,0.000000,350,680,1100,1600,3500,8600,21000,22000,23000,23000,23000,869,0,350.0,1696.5934181945124,4.929204998916248,23365.711430000374,240360.0172612198
1775881170,50,,Aggregated,24.100000,0.000000,350,680,1100,1600,3500,8600,21000,22000,23000,23000,23000,875,0,350.0,1690.7276049440309,4.929204998916248,23365.711430000374,242929.36342857144
1775881171,50,,Aggregated,24.900000,0.000000,360,690,1100,1600,3500,8100,21000,22000,23000,23000,23000,881,0,360.0,1686.3539749273946,4.929204998916248,23365.711430000374,248233.60612939842
1775881172,50,,Aggregated,24.800000,0.000000,370,700,1200,1600,3500,8600,21000,22000,25000,25000,25000,898,0,370.0,1706.59070563367,4.929204998916248,25471.47282300284,253132.79287305122
1775881173,50,,Aggregated,21.900000,0.000000,360,700,1200,1700,3500,10000,22000,23000,25000,25000,25000,929,0,360.0,1774.0072630915388,4.929204998916248,25487.797612000577,246125.66307857912
1775881174,50,,Aggregated,19.500000,0.000000,360,700,1200,1600,3500,9200,22000,23000,25000,25000,25000,941,0,360.0,1760.106464516511,4.929204998916248,25487.797612000577,246932.76195536664
1775881175,50,,Aggregated,18.900000,0.000000,370,720,1200,1600,3500,9200,22000,23000,25000,25000,25000,952,0,370.0,1752.9551218697814,4.929204998916248,25487.797612000577,251829.5
1775881176,50,,Aggregated,19.700000,0.000000,360,720,1200,1600,3500,12000,22000,23000,25000,25000,25000,985,0,360.0,1796.2674004741311,4.929204998916248,25487.797612000577,247251.5807106599
1775881177,50,,Aggregated,17.800000,0.000000,340,690,1100,1600,3500,15000,22000,22000,25000,25000,25000,1031,0,340.0,1831.986739789551,4.929204998916248,25487.797612000577,238751.8583899127
1775881178,50,,Aggregated,17.900000,0.000000,340,690,1100,1500,3500,14000,22000,22000,25000,25000,25000,1044,0,340.0,1811.8401892643897,4.929204998916248,25487.797612000577,236998.32088122604
1775881179,50,,Aggregated,19.900000,0.000000,350,690,1100,1500,3500,14000,22000,22000,25000,25000,25000,1050,0,340.0,1807.5045284152604,4.929204998916248,25487.797612000577,239161.48285714287
1775881180,50,,Aggregated,21.200000,0.000000,360,710,1200,1600,3500,14000,22000,22000,25000,25000,25000,1069,0,360.0,1817.918932420974,4.929204998916248,25487.797612000577,242997.61085126287
1775881181,50,,Aggregated,19.600000,0.000000,350,700,1200,1600,3500,14000,22000,22000,25000,25000,25000,1093,0,350.0,1788.5670222013123,4.929204998916248,25487.797612000577,238867.12259835316
1775881182,50,,Aggregated,18.100000,0.000000,360,700,1200,1600,3500,14000,22000,22000,25000,25000,25000,1104,0,360.0,1796.3388983288357,4.929204998916248,25487.797612000577,239854.71648550723
1775881183,50,,Aggregated,20.600000,0.000000,340,690,1100,1500,3300,14000,22000,22000,25000,25000,25000,1137,0,340.0,1776.1523185602794,4.929204998916248,25487.797612000577,235159.87510993844
1775881186,50,,Aggregated,21.500000,0.000000,340,690,1100,1500,3500,14000,21000,22000,25000,25000,25000,1158,0,340.0,1794.921089337686,4.929204998916248,25487.797612000577,233084.04490500863
1775881187,50,,Aggregated,21.200000,0.000000,340,680,1100,1500,3500,14000,21000,22000,25000,25000,25000,1172,0,340.0,1778.4792419258085,4.929204998916248,25487.797612000577,233479.4223549488
1775881188,50,,Aggregated,19.500000,0.000000,350,690,1100,1500,3300,13000,21000,22000,25000,25000,25000,1184,0,350.0,1770.5169461689634,4.929204998916248,25487.797612000577,236329.64949324325
1775881189,50,,Aggregated,17.000000,0.000000,350,690,1100,1500,3100,12000,21000,22000,25000,25000,25000,1203,0,350.0,1753.4788727564926,4.929204998916248,25487.797612000577,234692.5519534497
1775881190,50,,Aggregated,13.600000,0.000000,350,680,1100,1500,3200,12000,21000,22000,25000,25000,25000,1226,0,350.0,1751.5172174845509,4.929204998916248,25487.797612000577,232360.10358890702
1775881191,50,,Aggregated,15.100000,0.000000,350,680,1100,1500,3300,14000,22000,23000,25000,25000,25000,1248,0,350.0,1779.6377994415443,4.929204998916248,25487.797612000577,230293.51121794872
1775881192,50,,Aggregated,17.100000,0.000000,340,680,1100,1500,3500,15000,22000,23000,25000,25000,25000,1281,0,340.0,1831.6670039844319,4.929204998916248,25487.797612000577,226368.4020296643
1775881193,50,,Aggregated,15.800000,0.000000,340,680,1100,1500,3500,16000,22000,22000,25000,25000,25000,1303,0,340.0,1869.2067698964406,4.929204998916248,25487.797612000577,225426.8603223331
1775881194,50,,Aggregated,17.600000,0.000000,350,670,1100,1400,3500,16000,22000,22000,25000,25000,25000,1321,0,350.0,1851.0030626397095,4.929204998916248,25487.797612000577,227971.7047691143
1775881195,50,,Aggregated,18.300000,0.000000,350,670,1000,1400,3500,16000,22000,22000,25000,25000,25000,1337,0,350.0,1847.9220541399063,4.929204998916248,25487.797612000577,228950.22363500373
1775881196,50,,Aggregated,16.200000,0.000000,340,660,1000,1400,3300,16000,21000,22000,25000,25000,25000,1369,0,340.0,1813.200574253511,4.929204998916248,25487.797612000577,225472.75821767712
1775881197,50,,Aggregated,17.800000,0.000000,340,640,990,1400,3200,16000,21000,22000,25000,25000,25000,1393,0,340.0,1792.497102171612,4.929204998916248,25487.797612000577,222535.96769562096
1775881198,50,,Aggregated,20.300000,0.000000,340,640,990,1400,3300,16000,21000,22000,25000,25000,25000,1406,0,340.0,1797.1790619374492,4.929204998916248,25487.797612000577,227484.886913229
1775881199,50,,Aggregated,22.100000,0.000000,340,630,980,1400,3200,16000,21000,22000,25000,25000,25000,1440,0,340.0,1786.191354091689,4.929204998916248,25487.797612000577,224747.04166666666
